,betaa1,betaa2,decay,drop_end,drop_middle,loss_mu,lr,n_conv2,n_conv3,n_resid
32,98,100,0.0001,0.0,0.3,0.01,0.003,50,32,1
33,74,751,0.011105442076294388,0.3754205128584821,0.40303628905408057,0.05808541328579268,0.0029961407391112817,42,62,4
34,99,204,0.00011459377558556484,0.2508829029848533,0.31754029775287734,0.22887896332113913,0.0006513658499363707,59,37,4
35,100,100,0.1,0.0,0.3,1.148681519017258,0.003,64,64,4
36,100,1148,0.0002975126095002352,0.1964019998369576,0.31833875255158983,0.08483782989948428,0.00020144703032451173,38,59,2
37,100,1500,0.0001,0.0,0.3,0.01,0.00036223819973961626,64,32,4
38,100,1500,0.1,0.0,0.7,0.01,0.001737700791098475,51,32,4
39,31,1294,0.027190503661187606,0.01805579001229898,0.3110914377204356,1.9983037027645583,0.0016723775694275503,59,57,4
40,85,264,0.007583371158284961,0.007921665705934179,0.3037288636947374,0.04554251598398182,9.841756129401566e-05,64,61,1
41,82,834,0.0005941353205317311,0.034064839611589154,0.4228048741588424,0.7827082076400117,0.0008753922099741411,38,57,3
42,100,100,0.1,0.0,0.3,0.01,0.003,52,64,4
43,93,358,0.06542579996670864,0.3821890668887231,0.5355102809191626,0.025051719499327378,0.00012535815793227387,60,39,1
44,99,1225,0.00031720895723389407,0.01594548794513492,0.44298807997973544,0.06520380594553528,0.0009785810189662399,48,32,3
45,100,433,0.0001,0.4,0.32195212439486065,0.01,0.00048703447996268094,32,32,4
46,12,630,0.0009594338439117355,0.006105059927753811,0.339256563733903,1.972402301653157,0.0028480940972788237,57,57,4
47,85,1439,0.000394229576615267,0.37997611153446675,0.36180633622758696,0.25926407087427245,0.00014360089370925015,63,53,1
48,10,1500,0.1,0.0,0.3,0.01,0.003,52,32,4
49,100,1500,0.0001,0.0,0.7,0.01,0.002124445099586025,51,32,4
50,36,444,0.09737517643697079,0.3243626801677982,0.37060112528952655,0.10739053371121944,0.0005948813763463012,35,61,1
51,100,100,0.017713741429768694,0.0,0.7,0.01,0.0021502181676248387,64,61,1
52,100,1231,0.0001,0.07898453674852893,0.3,0.01,0.0013857001101690981,32,64,4
53,94,1234,0.006835309202369512,0.22837148279487038,0.5392312135191615,0.13898506806316482,0.0004113630925177988,32,40,1
54,100,100,0.1,0.0,0.3,0.01,0.0013323423504901183,47,32,4
55,100,1175,0.1,0.4,0.3,1.0748109432635624,0.0014053002138659614,64,32,4
56,95,1424,0.018191481100599264,0.017034259988865767,0.5645449344183971,0.09961221401307159,0.00034685048401771924,46,33,1
57,98,572,0.0003868599510095572,0.001339621577770434,0.44817430924609,0.08251409276503047,9.175264299108424e-05,61,37,3
58,100,214,0.00016433689939232085,0.07924400055887715,0.6427002198637486,1.7993311591802308,0.00018410376591897077,57,46,2
59,100,100,0.1,0.0,0.3,0.9962186254487192,0.00012267873644852627,64,63,1
60,55,1500,0.1,0.0,0.48786106066683366,0.01,0.001187246980603774,32,64,4
61,100,167,0.07211306143364668,0.29645589841380654,0.3579029302561587,1.7143575949967012,0.0010035151831750539,36,48,2
62,100,1500,0.0001,0.4,0.3,0.01,0.001257243751419626,64,64,1
