,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_betaa1,param_betaa2,param_decay,param_drop_end,param_drop_middle,param_loss_mu,param_lr,param_n_conv2,param_n_conv3,param_n_resid,params,rank_train_score
79,0.9883019423517223,0.9879376770799077,0.9910110582392984,0.9890835592236428,0.0013710365029367367,20,0.9894490724892576,0.9906132179892109,0.9912614112496959,0.9904412339093881,0.0007498119046050178,1927.2605032920837,144.07231410457112,7.451696793238322,0.04629303361940692,94,287,0.08541144093172334,0.39182312092381427,0.6349238138965638,0.14310340569355393,0.0007280913537483639,43,58,4,"OrderedDict([('betaa1', 94), ('betaa2', 287), ('decay', 0.08541144093172334), ('drop_end', 0.39182312092381427), ('drop_middle', 0.6349238138965638), ('loss_mu', 0.14310340569355393), ('lr', 0.0007280913537483639), ('n_conv2', 43), ('n_conv3', 58), ('n_resid', 4)])",17
80,0.9796262101795399,0.9707489968854264,0.9747084269302991,0.9750278779984218,0.0036311399225761897,130,0.9813637214097353,0.9742576543589456,0.9749284077406801,0.9768499278364536,0.003203459259553204,2187.7145450909934,251.32825848272714,7.81017820040385,0.08334456109706091,99,448,0.0014379697971158888,0.2984788845431077,0.6199268411073946,0.032832838387300306,0.0001795445085846134,64,39,4,"OrderedDict([('betaa1', 99), ('betaa2', 448), ('decay', 0.0014379697971158888), ('drop_end', 0.2984788845431077), ('drop_middle', 0.6199268411073946), ('loss_mu', 0.032832838387300306), ('lr', 0.0001795445085846134), ('n_conv2', 64), ('n_conv3', 39), ('n_resid', 4)])",130
81,0.981568115070339,0.9877596102595134,0.9922257229477024,0.9871844827591849,0.004369914579495802,39,0.9830319081892193,0.9894131341364565,0.9926470777889724,0.9883640400382161,0.003994856729031014,1823.5141436258953,79.72228609896081,7.018627166748047,0.0334687749325287,100,1500,0.1,0.0,0.7,0.01,0.001737700791098475,51,32,4,"OrderedDict([('betaa1', 100), ('betaa2', 1500), ('decay', 0.1), ('drop_end', 0.0), ('drop_middle', 0.7), ('loss_mu', 0.01), ('lr', 0.001737700791098475), ('n_conv2', 51), ('n_conv3', 32), ('n_resid', 4)])",40
82,0.9823398662902553,0.9826211542715418,0.9922795888188264,0.9857468697935412,0.0046207570901744864,55,0.9835393499129874,0.9850959359364955,0.9931714442552895,0.9872689100349241,0.004221822093131761,1806.542598803838,145.70199982554408,6.757195234298706,0.04863830818723211,100,100,0.1,0.0,0.3,0.01,0.0013323423504901183,47,32,4,"OrderedDict([('betaa1', 100), ('betaa2', 100), ('decay', 0.1), ('drop_end', 0.0), ('drop_middle', 0.3), ('loss_mu', 0.01), ('lr', 0.0013323423504901183), ('n_conv2', 47), ('n_conv3', 32), ('n_resid', 4)])",48
83,0.9806884851854712,0.9734976122165694,0.9759257011359053,0.9767039328459819,0.0029867928127728744,126,0.9814242936904707,0.9750144981412638,0.9764348205537992,0.9776245374618445,0.0027486893224013516,1336.3060677051544,382.1246826470954,3.6941064993540444,0.07817639489982932,96,772,0.05369370657269958,0.0069853350785491946,0.4386704822068844,0.010145733875055067,2.111690005486626e-05,64,36,1,"OrderedDict([('betaa1', 96), ('betaa2', 772), ('decay', 0.05369370657269958), ('drop_end', 0.0069853350785491946), ('drop_middle', 0.4386704822068844), ('loss_mu', 0.010145733875055067), ('lr', 2.111690005486626e-05), ('n_conv2', 64), ('n_conv3', 36), ('n_resid', 1)])",125
84,0.9876478678538541,0.9837760921324156,0.9912964382522774,0.9875734660795157,0.003070619173027793,33,0.9889358799493964,0.9862453447745757,0.991224978633221,0.988802067785731,0.002035127778609209,1047.4873104890187,43.237251812588774,3.227318604787191,0.07362137496803003,98,100,0.0001,0.0,0.3,0.01,0.003,50,32,1,"OrderedDict([('betaa1', 98), ('betaa2', 100), ('decay', 0.0001), ('drop_end', 0.0), ('drop_middle', 0.3), ('loss_mu', 0.01), ('lr', 0.003), ('n_conv2', 50), ('n_conv3', 32), ('n_resid', 1)])",33
85,0.9924336602064476,0.9869252716283519,0.9946312294547087,0.9913300537631695,0.0032412864618472648,6,0.9941586260267609,0.9886511389999163,0.994217015599486,0.9923422602087211,0.0026101256890702987,1646.8926929632823,11.754405275367263,6.125345786412557,0.13008975612190973,92,926,0.014309368114212826,9.499237973211729e-05,0.5442342332380582,1.9321963234091184,0.002923579177646796,62,50,3,"OrderedDict([('betaa1', 92), ('betaa2', 926), ('decay', 0.014309368114212826), ('drop_end', 9.499237973211729e-05), ('drop_middle', 0.5442342332380582), ('loss_mu', 1.9321963234091184), ('lr', 0.002923579177646796), ('n_conv2', 62), ('n_conv3', 50), ('n_resid', 3)])",6
86,0.9614912069356772,0.9750349161312282,0.9727170206344642,0.9697477145671233,0.005914422969012484,137,0.9614116256239189,0.9767211700254353,0.9718030240072265,0.9699786065521936,0.006381844651466243,1021.5477038224539,2.223353021763267,3.7023650805155435,0.02878783818818306,12,590,0.004530979308033822,0.15237211831296912,0.6601159005745174,1.8969058889829298,0.0029167064500564186,62,41,1,"OrderedDict([('betaa1', 12), ('betaa2', 590), ('decay', 0.004530979308033822), ('drop_end', 0.15237211831296912), ('drop_middle', 0.6601159005745174), ('loss_mu', 1.8969058889829298), ('lr', 0.0029167064500564186), ('n_conv2', 62), ('n_conv3', 41), ('n_resid', 1)])",137
87,0.979722145551978,0.9803357428603466,0.9794754496703574,0.9798444460275607,0.000361703513881451,113,0.9808969254029186,0.9817835117533611,0.9791914769134559,0.9806239713565786,0.0010756514572979152,1080.8347464402516,93.82388391936622,3.575660546620687,0.0627597783866591,32,1413,0.02662123362901065,0.027162946158340213,0.333108921980832,1.964174234367714,6.330381079488325e-05,61,46,1,"OrderedDict([('betaa1', 32), ('betaa2', 1413), ('decay', 0.02662123362901065), ('drop_end', 0.027162946158340213), ('drop_middle', 0.333108921980832), ('loss_mu', 1.964174234367714), ('lr', 6.330381079488325e-05), ('n_conv2', 61), ('n_conv3', 46), ('n_resid', 1)])",112
88,0.9817397783645028,0.9892707151215995,0.9917024625195218,0.987570985335208,0.004241114625757907,34,0.9827111960510965,0.9911985102160605,0.9919344404683319,0.9886147155784965,0.004185216477224359,1988.0434384346008,82.28254405185457,7.49301799138387,0.17353388849456589,74,751,0.011105442076294388,0.3754205128584821,0.40303628905408057,0.05808541328579268,0.0029961407391112817,42,62,4,"OrderedDict([('betaa1', 74), ('betaa2', 751), ('decay', 0.011105442076294388), ('drop_end', 0.3754205128584821), ('drop_middle', 0.40303628905408057), ('loss_mu', 0.05808541328579268), ('lr', 0.0029961407391112817), ('n_conv2', 42), ('n_conv3', 62), ('n_resid', 4)])",36
